csu_kod, nuts_kod, kraj_nazev, iso_3166_2_code
3000, CZZZZ, Extra-Regio,"CZ-EX"
3018, CZ010, Hlavní město Praha,"CZ-PR"
3026, CZ020, Středočeský kraj,"CZ-ST"
3034, CZ031, Jihočeský kraj,"CZ-JC"
3042, CZ032, Plzeňský kraj,"CZ-PL"
3051, CZ041, Karlovarský kraj,"CZ-KA"
3069, CZ042, Ústecký kraj,"CZ-US"
3077, CZ051, Liberecký kraj,"CZ-LI"
3085, CZ052, Královéhradecký kraj,"CZ-KR"
3093, CZ053, Pardubický kraj,"CZ-PA"
3107, CZ063, Kraj Vysočina,"CZ-VY"
3115, CZ064, Jihomoravský kraj,"CZ-JM"
3123, CZ071, Olomoucký kraj,"CZ-OL"
3131, CZ072, Zlínský kraj,"CZ-ZL"
3140, CZ080, Moravskoslezský kraj,"CZ-MO"
